entity,column,check,count
members,first_name,missing_values,10500
members,email,missing_values,10500
members,city,missing_values,10500
members,member_id,duplicate_pk,6000
members,dob,future_dates,22880
providers,specialty,missing_values,433
providers,provider_id,duplicate_pk,1250
claims,denial_code,missing_values,115184
claims,claim_number,duplicate_pk,7500
claims,member_id,orphan_fk,30000
claims,provider_id,orphan_fk,30000
claims,allowed_amount,negative_values,30000
claims,length_of_stay,negative_values,2291
claims,paid_amount,non_numeric,30000
claims,admit_date,future_dates,75
claim_lines,procedure_code,missing_values,21
claim_lines,line_id,duplicate_pk,27500
claim_lines,claim_number,orphan_fk,110000
claim_lines,units,negative_values,110000
claim_lines,line_amount,negative_values,110000
claim_lines,rate,non_numeric,110000
claim_lines,service_date,future_dates,329
payments,payment_method,missing_values,8013
payments,adjustment_code,missing_values,54903
payments,payment_id,duplicate_pk,10000
payments,claim_number,orphan_fk,40000
payments,paid_amount,non_numeric,40000
payments,payment_date,future_dates,104
diagnoses,diagnosis_code,missing_values,3
diagnoses,diag_id,duplicate_pk,5000
diagnoses,claim_number,orphan_fk,20000
procedures,procedure_code,missing_values,6
procedures,proc_id,duplicate_pk,3750
procedures,line_id,orphan_fk,15000
