year,month,month_name,claims,total_paid,avg_paid
2023,6,June,2538,190780955.28,75169.8
2023,7,July,7150,540916630.87,75652.68
2023,8,August,7205,537473644.39,74597.31
2023,9,September,6941,521330949.63,75108.91
2023,10,October,7164,534191133.65,74566.04
2023,11,November,6873,518673939.17,75465.44
2023,12,December,7201,542381124.29,75320.25
2024,1,January,7257,546399257.47,75292.72
2024,2,February,6635,502793599.66,75778.99
2024,3,March,7306,554180819.17,75852.84
2024,4,April,6907,524449586.45,75930.16
2024,5,May,7177,542400783.68,75574.86
2024,6,June,6935,518934141.89,74828.28
2024,7,July,7190,541073665.92,75253.64
2024,8,August,7203,543546994.64,75461.2
2024,9,September,6988,516972801.89,73980.08
2024,10,October,7310,550231465.22,75271.06
2024,11,November,6955,521799673.13,75025.11
2024,12,December,7306,547294634.64,74910.3
2025,1,January,7237,540865075.39,74736.09
2025,2,February,6548,493956647.41,75436.26
2025,3,March,7234,542711355.89,75022.31
2025,4,April,6954,526543536.55,75718.08
2025,5,May,7206,540388115.61,74991.41
2025,6,June,6778,509628189.43,75188.58
2025,7,July,7286,553561146.53,75976.0
2025,8,August,7250,539057388.21,74352.74
2025,9,September,6956,522210034.79,75073.32
2025,10,October,7199,537312437.3,74637.09
2025,11,November,6920,517151300.27,74732.85
2025,12,December,831,61354115.03,73831.67
