provider_id,specialty,state,total_claims,total_paid,avg_paid,avg_los,denied_claims,denial_rate_pct
PRVBD698089DEAB,Orthopedics,Bihar,16,1573801.57,98362.6,15.7,9,56.25
PRV7AEE1BC05A2D,Pediatrics,Karnataka,16,1568687.5,98042.97,13.1,8,50.0
PRV368673895348,Cardiology,Mizoram,14,1543593.68,110256.69,20.6,5,35.71
PRV69E5FAA1EE1E,ENT,Punjab,15,1531533.04,102102.2,14.3,6,40.0
PRVEBB82E4B301F,OBGYN,Sikkim,16,1499901.82,93743.86,12.7,11,68.75
PRV14867A5D22BC,Neurology,Rajasthan,18,1455696.41,80872.02,13.9,10,55.56
PRVD19E127C41E2,OBGYN,Tripura,16,1446529.6,90408.1,17.6,5,31.25
PRV00AFDE779A29,Pediatrics,Maharashtra,14,1436085.37,102577.53,13.6,9,64.29
PRV587EF933CF44,Oncology,Mizoram,16,1426790.44,89174.4,12.8,9,56.25
PRV624DAB102536,General Medicine,Kerala,16,1420996.09,88812.26,12.7,7,43.75
PRVB89A0CA07CFB,OBGYN,Nagaland,15,1403930.32,93595.35,14.1,8,53.33
PRVB211461C446E,Neurology,Odisha,17,1401089.48,82417.03,14.2,6,35.29
PRV6522C2EFF03D,Cardiology,Punjab,13,1394120.46,107240.04,14.3,8,61.54
PRVB6464BC66231,Dermatology,Meghalaya,14,1387333.09,99095.22,12.3,9,64.29
PRV3C4D0704FCE7,Orthopedics,Odisha,13,1384270.64,106482.36,18.2,7,53.85
