length_of_stay,claim_count,avg_paid
0,6959,76071.87
1,7100,74601.53
2,6957,74763.7
3,6979,75298.44
4,6950,74525.37
5,6886,75317.82
6,6946,74983.46
7,6902,74920.37
8,6972,74887.71
9,6996,74971.93
10,6978,74889.09
11,7059,75024.22
12,6876,76152.75
13,6968,74300.84
14,6983,75440.5
15,6762,75527.47
16,7069,74473.92
17,6996,75362.95
18,6742,75061.23
19,6942,74780.8
20,6995,75627.21
21,7043,75254.66
22,6950,75323.99
23,6928,75807.52
24,6988,75072.8
25,6943,74268.81
26,6875,75539.61
27,6922,75260.67
28,6987,75921.09
29,6987,75291.3
