state,total_claims,total_paid,avg_paid,denied_claims
Punjab,11690,876482762.6,74977.14,5894
Odisha,10906,821128238.88,75291.42,5478
Madhya Pradesh,10145,764425691.82,75349.99,4983
Karnataka,10053,752665002.33,74869.69,4973
Mizoram,9792,737802665.08,75347.49,4907
Assam,9484,709095478.37,74767.55,4671
Haryana,9291,702057048.63,75563.13,4659
Bihar,8752,648910603.03,74144.26,4363
West Bengal,8467,644055276.65,76066.53,4205
Gujarat,8494,636346587.58,74917.19,4256
Maharashtra,7560,569575600.15,75340.69,3788
Uttarakhand,7471,560427731.15,75013.75,3736
Himachal Pradesh,7144,546618302.23,76514.32,3497
Tripura,7186,537574570.2,74808.6,3650
Nagaland,7071,530271750.48,74992.47,3517
