payment_id,claim_number,payment_date,payment_method,paid_amount,adjustment_code,rejection_reason
PM00033172,__ORPHAN__,2025-06-06 23:00:34.737545,,ERR,,missing_payment_method
PM00060704,__ORPHAN__,2025-03-15 01:00:11.737545,,ERR,,missing_payment_method
PM00072779,__ORPHAN__,2025-08-29 19:17:47.737545,,ERR,,missing_payment_method
PM00072731,__ORPHAN__,2026-04-05 15:41:21.737545,,ERR,,missing_payment_method
PM00076135,__ORPHAN__,2025-11-25 01:38:51.737545,,ERR,,missing_payment_method
PM00098090,__ORPHAN__,2024-12-02 00:13:20.737545,,ERR,,missing_payment_method
PM00082472,__ORPHAN__,2024-01-05 23:26:58.737545,,ERR,,missing_payment_method
PM00092308,__ORPHAN__,2024-09-21 06:29:54.737545,,ERR,,missing_payment_method
PM00066746,__ORPHAN__,2024-03-17 18:05:45.737545,,ERR,,missing_payment_method
PM00079217,__ORPHAN__,2025-01-16 15:47:46.737545,,ERR,,missing_payment_method
PM00027258,__ORPHAN__,2025-11-17 09:12:35.737545,,ERR,,missing_payment_method
PM00082886,__ORPHAN__,2025-08-20 12:12:46.737545,,ERR,,missing_payment_method
PM00079172,__ORPHAN__,2025-02-21 10:51:12.737545,,ERR,,missing_payment_method
PM00074312,__ORPHAN__,2025-03-27 21:22:23.737545,,ERR,,missing_payment_method
PM00067843,__ORPHAN__,2024-12-25 22:23:32.737545,,ERR,,missing_payment_method
PM00069380,__ORPHAN__,2025-04-13 17:40:54.737545,,ERR,,missing_payment_method
PM00068540,__ORPHAN__,2024-03-23 19:23:24.737545,,ERR,,missing_payment_method
PM00005780,__ORPHAN__,2024-04-10 19:55:11.737545,,ERR,,missing_payment_method
PM00098356,__ORPHAN__,2025-06-20 02:02:20.737545,,ERR,,missing_payment_method
PM00076401,__ORPHAN__,2024-05-23 03:35:32.737545,,ERR,,missing_payment_method
PM00066695,__ORPHAN__,2024-01-03 14:05:32.737545,,ERR,,missing_payment_method
PM00080774,__ORPHAN__,2024-03-09 09:33:14.737545,,ERR,,missing_payment_method
PM00077487,__ORPHAN__,2024-05-29 21:23:41.737545,,ERR,,missing_payment_method
PM00083118,__ORPHAN__,2025-08-22 05:11:16.737545,,ERR,,missing_payment_method
PM00067231,__ORPHAN__,2023-09-07 01:48:44.737545,,ERR,,missing_payment_method
PM00091009,__ORPHAN__,2025-04-19 01:14:53.737545,,ERR,,missing_payment_method
PM00083214,__ORPHAN__,2025-01-29 12:42:03.737545,,ERR,,missing_payment_method
PM00085033,__ORPHAN__,2024-06-29 08:20:07.737545,,ERR,,missing_payment_method
PM00099298,__ORPHAN__,2024-04-24 05:49:10.737545,,ERR,,missing_payment_method
PM00027446,__ORPHAN__,2025-07-23 01:09:08.737545,,ERR,,missing_payment_method
PM00060590,__ORPHAN__,2025-04-10 07:31:19.737545,,ERR,,missing_payment_method
PM00064028,__ORPHAN__,2025-11-13 22:44:30.737545,,ERR,,missing_payment_method
PM00081807,__ORPHAN__,2024-08-28 18:52:46.737545,,ERR,,missing_payment_method
PM00013938,__ORPHAN__,2025-09-16 19:10:52.737545,,ERR,,missing_payment_method
PM00086477,__ORPHAN__,2025-06-22 20:44:57.737545,,ERR,,missing_payment_method
PM00014511,__ORPHAN__,2024-11-10 11:18:55.737545,,ERR,,missing_payment_method
PM00079067,__ORPHAN__,2023-10-24 09:47:35.737545,,ERR,,missing_payment_method
PM00067412,__ORPHAN__,2024-12-28 08:00:14.737545,,ERR,,missing_payment_method
PM00076166,__ORPHAN__,2024-02-13 08:43:55.737545,,ERR,,missing_payment_method
PM00096528,__ORPHAN__,2024-09-11 11:31:10.737545,,ERR,,missing_payment_method
PM00066035,__ORPHAN__,2024-12-17 05:08:42.737545,,ERR,,missing_payment_method
PM00027133,__ORPHAN__,2024-11-18 14:46:15.737545,,ERR,,missing_payment_method
PM00063175,__ORPHAN__,2024-04-10 12:28:26.737545,,ERR,,missing_payment_method
PM00006182,__ORPHAN__,2025-03-06 14:07:49.737545,,ERR,,missing_payment_method
PM00024467,__ORPHAN__,2024-09-12 00:27:16.737545,,ERR,,missing_payment_method
PM00071100,__ORPHAN__,2024-07-03 03:21:34.737545,,ERR,,missing_payment_method
PM00040106,__ORPHAN__,2025-09-04 04:51:40.737545,,ERR,,missing_payment_method
PM00064572,__ORPHAN__,2024-01-08 10:45:38.737545,,ERR,,missing_payment_method
PM00079847,__ORPHAN__,2024-01-28 12:29:44.737545,,ERR,,missing_payment_method
PM00085663,__ORPHAN__,2024-07-19 20:15:44.737545,,ERR,,missing_payment_method
PM00068832,__ORPHAN__,2023-11-05 12:05:18.737545,,ERR,,missing_payment_method
PM00073561,__ORPHAN__,2025-08-01 04:00:12.737545,,ERR,,missing_payment_method
PM00018489,__ORPHAN__,2024-02-29 15:33:10.737545,,ERR,,missing_payment_method
PM00088827,__ORPHAN__,2023-08-03 05:59:56.737545,,ERR,,missing_payment_method
PM00017266,__ORPHAN__,2024-10-03 00:05:42.737545,,ERR,,missing_payment_method
PM00087653,__ORPHAN__,2025-08-13 16:34:55.737545,,ERR,,missing_payment_method
PM00011194,__ORPHAN__,2024-04-10 09:48:01.737545,,ERR,,missing_payment_method
PM00061370,__ORPHAN__,2024-05-29 02:01:09.737545,,ERR,,missing_payment_method
PM00090082,__ORPHAN__,2024-10-28 20:41:47.737545,,ERR,,missing_payment_method
PM00096972,__ORPHAN__,2024-07-28 20:25:59.737545,,ERR,,missing_payment_method
PM00001247,__ORPHAN__,2024-10-08 17:25:26.737545,,ERR,,missing_payment_method
PM00042472,__ORPHAN__,2026-11-03 15:37:49.737545,,ERR,,missing_payment_method
PM00078602,__ORPHAN__,2023-11-08 09:31:16.737545,,ERR,,missing_payment_method
PM00067915,__ORPHAN__,2025-01-02 20:20:04.737545,,ERR,,missing_payment_method
PM00098561,__ORPHAN__,2025-03-15 21:34:59.737545,,ERR,,missing_payment_method
PM00025361,__ORPHAN__,2024-06-02 14:29:13.737545,,ERR,,missing_payment_method
PM00099195,__ORPHAN__,2025-07-12 04:17:29.737545,,ERR,,missing_payment_method
PM00072397,__ORPHAN__,2026-02-22 15:21:57.737545,,ERR,,missing_payment_method
PM00072130,__ORPHAN__,2024-12-26 16:53:04.737545,,ERR,,missing_payment_method
PM00099897,__ORPHAN__,2025-12-22 03:10:03.737545,,ERR,,missing_payment_method
PM00065983,__ORPHAN__,2024-12-24 22:00:53.737545,,ERR,,missing_payment_method
PM00066332,__ORPHAN__,2025-02-13 12:00:38.737545,,ERR,,missing_payment_method
PM00080931,__ORPHAN__,2025-11-21 13:30:24.737545,,ERR,,missing_payment_method
PM00097203,__ORPHAN__,2024-05-09 17:02:33.737545,,ERR,,missing_payment_method
PM00096028,__ORPHAN__,2024-05-15 17:41:47.737545,,ERR,,missing_payment_method
PM00097661,__ORPHAN__,2024-02-08 14:20:45.737545,,ERR,,missing_payment_method
PM00086170,__ORPHAN__,2024-03-22 21:40:20.737545,,ERR,,missing_payment_method
PM00001425,__ORPHAN__,2025-04-01 01:52:27.737545,,ERR,,missing_payment_method
PM00069298,__ORPHAN__,2025-07-20 07:56:57.737545,,ERR,,missing_payment_method
PM00096477,__ORPHAN__,2025-06-29 12:45:41.737545,,ERR,,missing_payment_method
PM00094067,__ORPHAN__,2024-01-20 08:48:33.737545,,ERR,,missing_payment_method
PM00076227,__ORPHAN__,2025-01-30 17:43:47.737545,,ERR,,missing_payment_method
PM00077788,__ORPHAN__,2025-01-08 17:53:05.737545,,ERR,,missing_payment_method
PM00064802,__ORPHAN__,2024-12-15 12:16:57.737545,,ERR,,missing_payment_method
PM00066470,__ORPHAN__,2023-07-14 01:16:44.737545,,ERR,,missing_payment_method
PM00092659,__ORPHAN__,2024-03-08 21:26:30.737545,,ERR,,missing_payment_method
PM00027110,__ORPHAN__,2025-11-29 07:08:48.737545,,ERR,,missing_payment_method
PM00066856,__ORPHAN__,2024-06-22 19:55:28.737545,,ERR,,missing_payment_method
PM00064017,__ORPHAN__,2024-10-15 17:29:30.737545,,ERR,,missing_payment_method
PM00096448,__ORPHAN__,2023-12-27 02:03:43.737545,,ERR,,missing_payment_method
PM00057677,__ORPHAN__,2025-07-01 19:57:45.737545,,ERR,,missing_payment_method
PM00062144,__ORPHAN__,2023-07-13 17:55:32.737545,,ERR,,missing_payment_method
PM00073895,__ORPHAN__,2024-04-12 13:43:49.737545,,ERR,,missing_payment_method
PM00094289,__ORPHAN__,2023-11-06 17:56:34.737545,,ERR,,missing_payment_method
PM00074088,__ORPHAN__,2024-06-03 17:06:27.737545,,ERR,,missing_payment_method
PM00099973,__ORPHAN__,2024-05-21 18:27:05.737545,,ERR,,missing_payment_method
PM00025735,__ORPHAN__,2023-07-05 18:08:32.737545,,ERR,,missing_payment_method
PM00058197,__ORPHAN__,2025-01-26 14:09:14.737545,,ERR,,missing_payment_method
PM00099617,__ORPHAN__,2023-09-20 05:35:24.737545,,ERR,,missing_payment_method
PM00012962,__ORPHAN__,2025-06-26 12:49:36.737545,,ERR,,missing_payment_method
PM00045376,__ORPHAN__,2024-02-12 02:26:02.737545,,ERR,,missing_payment_method
PM00099926,__ORPHAN__,2025-06-26 12:19:19.737545,,ERR,,missing_payment_method
PM00072719,__ORPHAN__,2023-09-05 21:34:08.737545,,ERR,,missing_payment_method
PM00068510,__ORPHAN__,2023-07-07 16:40:09.737545,,ERR,,missing_payment_method
PM00036805,__ORPHAN__,2025-07-04 20:45:32.737545,,ERR,,missing_payment_method
PM00070958,__ORPHAN__,2024-09-13 13:06:02.737545,,ERR,,missing_payment_method
PM00067436,__ORPHAN__,2025-02-13 23:34:30.737545,,ERR,,missing_payment_method
PM00074469,__ORPHAN__,2024-03-04 03:30:36.737545,,ERR,,missing_payment_method
PM00093526,__ORPHAN__,2024-03-31 20:38:34.737545,,ERR,,missing_payment_method
PM00051385,__ORPHAN__,2023-07-10 15:26:12.737545,,ERR,,missing_payment_method
PM00037906,__ORPHAN__,2023-09-21 23:45:30.737545,,ERR,,missing_payment_method
PM00089934,__ORPHAN__,2025-02-14 16:23:20.737545,,ERR,,missing_payment_method
PM00069755,__ORPHAN__,2023-09-04 09:49:59.737545,,ERR,,missing_payment_method
PM00096775,__ORPHAN__,2023-12-17 15:17:53.737545,,ERR,,missing_payment_method
PM00066635,__ORPHAN__,2023-08-13 01:23:36.737545,,ERR,,missing_payment_method
PM00082814,__ORPHAN__,2025-03-26 18:11:19.737545,,ERR,,missing_payment_method
PM00078636,__ORPHAN__,2023-12-06 01:07:44.737545,,ERR,,missing_payment_method
PM00075243,__ORPHAN__,2025-02-02 01:57:02.737545,,ERR,,missing_payment_method
PM00098096,__ORPHAN__,2024-08-17 07:38:46.737545,,ERR,,missing_payment_method
PM00085003,__ORPHAN__,2025-04-15 19:50:31.737545,,ERR,,missing_payment_method
PM00065343,__ORPHAN__,2024-02-26 08:06:19.737545,,ERR,,missing_payment_method
PM00069770,__ORPHAN__,2025-04-02 14:32:46.737545,,ERR,,missing_payment_method
PM00088968,__ORPHAN__,2025-04-30 13:01:33.737545,,ERR,,missing_payment_method
PM00095499,__ORPHAN__,2024-07-10 16:52:21.737545,,ERR,,missing_payment_method
PM00066422,__ORPHAN__,2024-02-20 01:37:48.737545,,ERR,,missing_payment_method
PM00096636,__ORPHAN__,2025-12-03 00:28:02.737545,,ERR,,missing_payment_method
PM00092192,__ORPHAN__,2025-10-07 21:35:31.737545,,ERR,,missing_payment_method
PM00086024,__ORPHAN__,2023-11-19 10:49:55.737545,,ERR,,missing_payment_method
PM00095323,__ORPHAN__,2024-06-29 22:45:06.737545,,ERR,,missing_payment_method
PM00086006,__ORPHAN__,2025-03-09 21:14:39.737545,,ERR,,missing_payment_method
PM00099241,__ORPHAN__,2024-04-11 04:37:19.737545,,ERR,,missing_payment_method
PM00069122,__ORPHAN__,2024-05-18 15:25:35.737545,,ERR,,missing_payment_method
PM00067209,__ORPHAN__,2024-11-19 22:17:02.737545,,ERR,,missing_payment_method
PM00089781,__ORPHAN__,2025-11-29 21:49:26.737545,,ERR,,missing_payment_method
PM00099401,__ORPHAN__,2025-10-26 09:16:59.737545,,ERR,,missing_payment_method
PM00072116,__ORPHAN__,2024-11-30 06:20:47.737545,,ERR,,missing_payment_method
PM00071367,__ORPHAN__,2023-12-04 14:15:53.737545,,ERR,,missing_payment_method
PM00063526,__ORPHAN__,2024-03-22 07:24:41.737545,,ERR,,missing_payment_method
PM00054171,__ORPHAN__,2023-09-28 23:55:56.737545,,ERR,,missing_payment_method
PM00084861,__ORPHAN__,2024-10-27 14:53:29.737545,,ERR,,missing_payment_method
PM00061998,__ORPHAN__,2023-12-15 04:59:12.737545,,ERR,,missing_payment_method
PM00031071,__ORPHAN__,2024-12-05 01:46:49.737545,,ERR,,missing_payment_method
PM00076965,__ORPHAN__,2024-06-26 07:16:07.737545,,ERR,,missing_payment_method
PM00069428,__ORPHAN__,2024-02-13 06:58:23.737545,,ERR,,missing_payment_method
PM00057472,__ORPHAN__,2025-02-11 09:42:14.737545,,ERR,,missing_payment_method
PM00060665,__ORPHAN__,2023-11-29 11:14:19.737545,,ERR,,missing_payment_method
PM00079627,__ORPHAN__,2025-07-10 12:51:19.737545,,ERR,,missing_payment_method
PM00065460,__ORPHAN__,2024-08-22 10:39:03.737545,,ERR,,missing_payment_method
PM00047433,__ORPHAN__,2025-02-03 06:26:22.737545,,ERR,,missing_payment_method
PM00073902,__ORPHAN__,2025-10-11 20:49:42.737545,,ERR,,missing_payment_method
PM00069931,__ORPHAN__,2024-04-03 04:46:53.737545,,ERR,,missing_payment_method
PM00062336,__ORPHAN__,2023-09-15 01:51:22.737545,,ERR,,missing_payment_method
PM00015551,__ORPHAN__,2024-03-12 23:58:13.737545,,ERR,,missing_payment_method
PM00093848,__ORPHAN__,2025-08-20 09:23:00.737545,,ERR,,missing_payment_method
PM00002734,__ORPHAN__,2025-01-03 17:28:20.737545,,ERR,,missing_payment_method
PM00088195,__ORPHAN__,2025-01-07 18:05:41.737545,,ERR,,missing_payment_method
PM00071158,__ORPHAN__,2024-05-24 08:44:39.737545,,ERR,,missing_payment_method
PM00064259,__ORPHAN__,2026-01-21 19:39:41.737545,,ERR,,missing_payment_method
PM00024488,__ORPHAN__,2025-04-27 11:12:16.737545,,ERR,,missing_payment_method
PM00060032,__ORPHAN__,2025-09-24 04:28:31.737545,,ERR,,missing_payment_method
PM00095385,__ORPHAN__,2026-05-18 05:54:02.737545,,ERR,,missing_payment_method
PM00099547,__ORPHAN__,2024-09-29 20:01:38.737545,,ERR,,missing_payment_method
PM00078373,__ORPHAN__,2025-06-26 10:33:23.737545,,ERR,,missing_payment_method
PM00027052,__ORPHAN__,2024-10-10 10:01:05.737545,,ERR,,missing_payment_method
PM00075595,__ORPHAN__,2024-06-20 22:13:16.737545,,ERR,,missing_payment_method
PM00065292,__ORPHAN__,2023-12-03 18:49:48.737545,,ERR,,missing_payment_method
PM00025536,__ORPHAN__,2024-08-18 19:18:55.737545,,ERR,,missing_payment_method
PM00026583,__ORPHAN__,2024-09-25 12:30:40.737545,,ERR,,missing_payment_method
PM00090243,__ORPHAN__,2023-12-08 12:01:42.737545,,ERR,,missing_payment_method
PM00031033,__ORPHAN__,2023-10-01 22:28:27.737545,,ERR,,missing_payment_method
PM00021247,__ORPHAN__,2023-12-13 02:10:29.737545,,ERR,,missing_payment_method
PM00093436,__ORPHAN__,2024-05-14 23:21:07.737545,,ERR,,missing_payment_method
PM00082955,__ORPHAN__,2024-07-29 16:18:52.737545,,ERR,,missing_payment_method
PM00067782,__ORPHAN__,2025-10-21 04:59:03.737545,,ERR,,missing_payment_method
PM00099836,__ORPHAN__,2023-10-24 17:37:40.737545,,ERR,,missing_payment_method
PM00088346,__ORPHAN__,2025-06-08 01:06:43.737545,,ERR,,missing_payment_method
PM00078747,__ORPHAN__,2024-11-03 18:21:09.737545,,ERR,,missing_payment_method
PM00069024,__ORPHAN__,2024-08-19 14:23:09.737545,,ERR,,missing_payment_method
PM00083842,__ORPHAN__,2026-06-12 11:29:53.737545,,ERR,,missing_payment_method
PM00066173,__ORPHAN__,2025-09-01 16:48:56.737545,,ERR,,missing_payment_method
PM00078179,__ORPHAN__,2025-04-10 08:38:44.737545,,ERR,,missing_payment_method
PM00092871,__ORPHAN__,2023-12-08 22:24:38.737545,,ERR,,missing_payment_method
PM00092819,__ORPHAN__,2025-02-07 07:04:14.737545,,ERR,,missing_payment_method
PM00042782,__ORPHAN__,2024-05-10 18:55:40.737545,,ERR,,missing_payment_method
PM00043394,__ORPHAN__,2023-10-20 04:04:14.737545,,ERR,,missing_payment_method
PM00097588,__ORPHAN__,2023-08-23 18:21:01.737545,,ERR,,missing_payment_method
PM00071096,__ORPHAN__,2023-08-19 20:12:04.737545,,ERR,,missing_payment_method
PM00024863,__ORPHAN__,2025-11-15 00:34:26.737545,,ERR,,missing_payment_method
PM00042163,__ORPHAN__,2025-06-25 12:14:26.737545,,ERR,,missing_payment_method
PM00064491,__ORPHAN__,2024-08-05 00:39:52.737545,,ERR,,missing_payment_method
PM00085045,__ORPHAN__,2026-02-20 16:01:49.737545,,ERR,,missing_payment_method
PM00094354,__ORPHAN__,2024-11-30 17:09:44.737545,,ERR,,missing_payment_method
PM00043966,__ORPHAN__,2024-10-04 13:45:38.737545,,ERR,,missing_payment_method
PM00060724,__ORPHAN__,2025-03-16 08:27:22.737545,,ERR,,missing_payment_method
PM00082344,__ORPHAN__,2025-06-25 14:09:29.737545,,ERR,,missing_payment_method
PM00071093,__ORPHAN__,2024-05-18 22:17:35.737545,,ERR,,missing_payment_method
PM00096739,__ORPHAN__,2024-01-24 01:57:29.737545,,ERR,,missing_payment_method
PM00080385,__ORPHAN__,2025-06-09 14:10:14.737545,,ERR,,missing_payment_method
PM00083264,__ORPHAN__,2024-06-03 03:51:29.737545,,ERR,,missing_payment_method
PM00012270,__ORPHAN__,2023-12-05 05:36:42.737545,,ERR,,missing_payment_method
PM00029860,__ORPHAN__,2023-11-15 20:11:21.737545,,ERR,,missing_payment_method
PM00097796,__ORPHAN__,2024-12-03 00:57:31.737545,,ERR,,missing_payment_method
PM00066281,__ORPHAN__,2026-07-31 11:06:06.737545,,ERR,,missing_payment_method
PM00023500,__ORPHAN__,2024-07-03 10:18:48.737545,,ERR,,missing_payment_method
PM00099533,__ORPHAN__,2026-06-16 00:12:37.737545,,ERR,,missing_payment_method
PM00099607,__ORPHAN__,2025-10-05 04:10:15.737545,,ERR,,missing_payment_method
PM00091443,__ORPHAN__,2025-06-30 09:58:56.737545,,ERR,,missing_payment_method
PM00095290,__ORPHAN__,2025-02-10 12:02:43.737545,,ERR,,missing_payment_method
PM00096853,__ORPHAN__,2024-07-03 11:03:13.737545,,ERR,,missing_payment_method
PM00084097,__ORPHAN__,2025-11-24 16:55:37.737545,,ERR,,missing_payment_method
PM00082132,__ORPHAN__,2024-10-12 16:19:30.737545,,ERR,,missing_payment_method
PM00084169,__ORPHAN__,2025-05-21 19:31:06.737545,,ERR,,missing_payment_method
PM00060463,__ORPHAN__,2024-08-29 06:01:24.737545,,ERR,,missing_payment_method
PM00003149,__ORPHAN__,2025-07-09 14:57:56.737545,,ERR,,missing_payment_method
PM00060195,__ORPHAN__,2024-07-07 16:19:50.737545,,ERR,,missing_payment_method
PM00099535,__ORPHAN__,2025-08-10 13:32:55.737545,,ERR,,missing_payment_method
PM00087963,__ORPHAN__,2023-11-09 21:18:11.737545,,ERR,,missing_payment_method
