provider_id,provider_name,specialty,city,state,tax_id,license_no,rejection_reason
P007771,Sachdev Inc,,Sambhal,Karnataka,XXXXX,BADLIC,missing_specialty
P029862,Babu PLC,,Vijayawada,Mizoram,XXXXX,BADLIC,missing_specialty
P014537,Sarin and Sons,,Mango,Madhya Pradesh,XXXXX,BADLIC,missing_specialty
P036427,"Chaudhary, Bhasin and Batra",,Panchkula,Chhattisgarh,XXXXX,BADLIC,missing_specialty
P037652,Munshi and Sons,,Vijayanagaram,Uttarakhand,XXXXX,BADLIC,missing_specialty
P036771,Vaidya-Sama,,Akola,Himachal Pradesh,XXXXX,BADLIC,missing_specialty
P035195,Madan Inc,,Dibrugarh,Manipur,XXXXX,BADLIC,missing_specialty
P037044,"Bahri, Grewal and Seshadri",,Amaravati,Uttarakhand,XXXXX,BADLIC,missing_specialty
P014783,Sheth-Sibal,,Amritsar,Odisha,XXXXX,BADLIC,missing_specialty
P038961,Bahri-Tank,,Rajpur Sonarpur,Sikkim,XXXXX,BADLIC,missing_specialty
P039994,Mander-Ranganathan,,Serampore,Assam,XXXXX,BADLIC,missing_specialty
P036207,Mutti-Dhar,,Tezpur,Mizoram,XXXXX,BADLIC,missing_specialty
P037564,Khalsa-Rastogi,,Katihar,Maharashtra,XXXXX,BADLIC,missing_specialty
P019166,"Shan, Nair and Badami",,Allahabad,Assam,XXXXX,BADLIC,missing_specialty
P015641,"Mandal, Subramaniam and Pandey",,Nizamabad,Gujarat,XXXXX,BADLIC,missing_specialty
P037552,"Nagarajan, Sastry and Sachdev",,Phusro,Tamil Nadu,XXXXX,BADLIC,missing_specialty
P007642,Bhatnagar Inc,,Thoothukudi,Karnataka,XXXXX,BADLIC,missing_specialty
P039083,Dixit-Bassi,,Kanpur,Karnataka,XXXXX,BADLIC,missing_specialty
P035671,Badal-Dash,,Pallavaram,Nagaland,XXXXX,BADLIC,missing_specialty
P024650,Grewal Ltd,,Pudukkottai,Manipur,XXXXX,BADLIC,missing_specialty
P035659,Sarkar Inc,,Bilaspur,West Bengal,XXXXX,BADLIC,missing_specialty
P002020,Sarin-Prashad,,Khora ,Odisha,XXXXX,BADLIC,missing_specialty
P021776,Behl-Peri,,Madanapalle,Andhra Pradesh,XXXXX,BADLIC,missing_specialty
P036617,Saha Ltd,,Bhind,Kerala,XXXXX,BADLIC,missing_specialty
P036186,"Kala, Biswas and Som",,Shivpuri,Nagaland,XXXXX,BADLIC,missing_specialty
P038376,Lanka-Andra,,Guntakal,Assam,XXXXX,BADLIC,missing_specialty
P038371,Bhasin-Chaudry,,Rajahmundry,Mizoram,XXXXX,BADLIC,missing_specialty
P036739,Bhagat Group,,Jodhpur,Uttar Pradesh,XXXXX,BADLIC,missing_specialty
P037454,"Bansal, Bobal and Andra",,Anantapur,Himachal Pradesh,XXXXX,BADLIC,missing_specialty
P035539,Pandey Ltd,,Ramgarh,Himachal Pradesh,XXXXX,BADLIC,missing_specialty
P035598,"Kulkarni, Mohan and Sawhney",,Patiala,Gujarat,XXXXX,BADLIC,missing_specialty
P032616,Varughese-Arya,,Agra,Punjab,XXXXX,BADLIC,missing_specialty
P014574,Bhardwaj Inc,,Gorakhpur,Tripura,XXXXX,BADLIC,missing_specialty
P038637,"Mitter, Bahri and Agarwal",,Meerut,Odisha,XXXXX,BADLIC,missing_specialty
P036733,Grover Inc,,Kumbakonam,Punjab,XXXXX,BADLIC,missing_specialty
P001889,Warrior Group,,Jalna,Himachal Pradesh,XXXXX,BADLIC,missing_specialty
P039703,Rege Group,,Katni,Gujarat,XXXXX,BADLIC,missing_specialty
P014998,Banik Inc,,Dehradun,Madhya Pradesh,XXXXX,BADLIC,missing_specialty
P037539,Radhakrishnan-Bail,,Mau,Karnataka,XXXXX,BADLIC,missing_specialty
P039038,Jain-Sangha,,Dindigul,Nagaland,XXXXX,BADLIC,missing_specialty
P035308,"Wali, Misra and Gopal",,Kulti,Chhattisgarh,XXXXX,BADLIC,missing_specialty
P020285,Wadhwa Group,,Dewas,Meghalaya,XXXXX,BADLIC,missing_specialty
P035867,"Shan, Nair and Badami",,Mirzapur,Himachal Pradesh,XXXXX,BADLIC,missing_specialty
P037423,Prashad Inc,,Bikaner,Telangana,XXXXX,BADLIC,missing_specialty
P020250,Krishnamurthy and Sons,,Kavali,Sikkim,XXXXX,BADLIC,missing_specialty
P038638,"Dugal, Panchal and Palla",,Saharanpur,Tripura,XXXXX,BADLIC,missing_specialty
